match_id,market_type,outcome,p_elo-baseline,p_poisson-goals,p_form-last-10,p_kalshi,v_kalshi,model_max_min
WC26-TUN-NED-2026-06-25,match_1x2,draw,0.15,0.305,0.204,,0,0.155
WC26-TUN-NED-2026-06-25,match_1x2,home,0.113,0.354,0.177,,0,0.241
WC26-TUR-PAR-2026-06-19,match_1x2,away,0.305,0.181,0.281,,0,0.124
WC26-TUR-PAR-2026-06-19,match_1x2,draw,0.241,0.242,0.254,,0,0.013
WC26-TUR-PAR-2026-06-19,match_1x2,home,0.454,0.577,0.465,,0,0.123
WC26-URU-CPV-2026-06-21,match_1x2,away,0.104,0.217,0.427,0.81,0,0.323
WC26-URU-CPV-2026-06-21,match_1x2,draw,0.15,0.348,0.278,0.49,0,0.198
WC26-URU-CPV-2026-06-21,match_1x2,home,0.746,0.435,0.295,0.76,0,0.451
WC26-URU-ESP-2026-06-26,match_1x2,away,0.704,0.449,0.636,0.75,0,0.255
WC26-URU-ESP-2026-06-26,match_1x2,draw,0.15,0.3,0.209,0.05,0,0.15
WC26-URU-ESP-2026-06-26,match_1x2,home,0.146,0.252,0.155,0.78,0,0.106
WC26-USA-AUS-2026-06-19,match_1x2,away,0.348,0.336,0.359,0.44,0,0.023
WC26-USA-AUS-2026-06-19,match_1x2,draw,0.297,0.283,0.245,0.33,0,0.052
WC26-USA-AUS-2026-06-19,match_1x2,home,0.354,0.381,0.396,0.71,0,0.042
WC26-USA-PAR-2026-06-12,match_1x2,away,0.42,0.104,0.289,0.23,0,0.316
WC26-USA-PAR-2026-06-12,match_1x2,draw,0.26,0.219,0.255,0.24,0,0.041
WC26-USA-PAR-2026-06-12,match_1x2,home,0.32,0.677,0.455,0.5,0,0.357
WC26-USA-TUR-2026-06-25,match_1x2,away,0.527,0.229,0.373,,0,0.298
WC26-USA-TUR-2026-06-25,match_1x2,draw,0.203,0.216,0.225,,0,0.022
WC26-USA-TUR-2026-06-25,match_1x2,home,0.27,0.554,0.402,,0,0.284
WC26-UZB-COL-2026-06-17,match_1x2,away,0.685,0.281,0.405,0.7,0,0.404
WC26-UZB-COL-2026-06-17,match_1x2,draw,0.15,0.315,0.255,0.16,0,0.165
WC26-UZB-COL-2026-06-17,match_1x2,home,0.165,0.403,0.34,0.15,0,0.238
